Frame_Number,Time,TouchLeft,TouchRight,Box_FencerID1,Box_FencerID2,SkeletonID1,SkeletonID2
214,1.7851166666666667,0,0,"1158,792,1410,1349","795,799,1166,1367","1297,859;1262,915;1214,985;1164,1026;1275,1056;1276,1183;1259,1302;1360,916;1374,1010;1360,1091;1337,1058;1321,1173;1299,1298","985,888;926,955;848,1018;825,1042;934,1115;1043,1218;1147,1328;1030,933;1029,1011;1004,1023;983,1104;914,1223;854,1331"
215,1.7934583333333334,0,0,"1160,793,1410,1348","784,811,1156,1373","1294,860;1260,916;1214,987;1163,1027;1275,1057;1273,1182;1257,1302;1359,916;1375,1009;1362,1089;1338,1058;1322,1174;1302,1299","980,889;926,956;850,1023;838,1051;923,1117;1035,1217;1132,1325;1013,932;1004,1006;991,1021;962,1104;907,1229;841,1325"
216,1.8018,0,0,"1160,793,1408,1347","775,817,1147,1376","1292,859;1259,915;1214,987;1163,1028;1273,1055;1272,1181;1258,1301;1357,916;1373,1010;1361,1091;1336,1057;1321,1173;1301,1298","970,888;918,954;843,1020;829,1049;914,1117;1026,1220;1124,1329;1002,930;992,1002;977,1016;952,1104;895,1230;833,1328"
217,1.8101416666666668,0,0,"1163,796,1409,1346","766,821,1138,1375","1292,853;1258,912;1214,989;1165,1026;1274,1059;1270,1183;1256,1304;1357,911;1375,1010;1367,1086;1335,1060;1319,1180;1300,1299","951,886;879,948;806,1014;776,1062;899,1109;1013,1223;1107,1330;1006,939;1013,1020;978,1024;960,1103;868,1215;825,1336"
218,1.8184833333333335,0,0,"1163,796,1408,1346","757,822,1131,1377","1289,857;1257,914;1217,987;1164,1027;1271,1057;1268,1182;1256,1300;1356,914;1374,1011;1360,1091;1335,1059;1319,1175;1300,1298","936,887;868,949;799,1016;763,1064;890,1113;994,1226;1086,1330;993,941;1002,1022;959,1022;952,1106;854,1220;820,1335"
219,1.8268250000000001,0,0,"1162,797,1405,1346","745,823,1124,1382","1289,853;1256,912;1214,989;1164,1025;1271,1059;1267,1182;1254,1303;1355,912;1374,1011;1367,1091;1333,1061;1321,1180;1303,1299","938,874;874,945;787,1015;763,1055;880,1119;983,1228;1051,1353;981,925;968,1002;953,1016;924,1108;854,1228;802,1347"
220,1.8351666666666666,0,0,"1162,798,1405,1346","736,823,1117,1387","1285,857;1255,915;1217,988;1162,1026;1268,1057;1264,1182;1255,1299;1354,915;1374,1012;1360,1093;1334,1059;1320,1177;1302,1297","927,875;863,946;768,1015;743,1056;872,1126;960,1234;1002,1358;968,928;957,1004;939,1011;914,1114;843,1232;800,1349"
221,1.8435083333333333,0,0,"1164,798,1406,1347","724,824,1103,1389","1279,855;1252,913;1218,986;1163,1025;1264,1056;1260,1182;1254,1298;1350,913;1373,1011;1360,1091;1332,1058;1317,1179;1299,1298","908,879;842,951;751,1025;719,1068;861,1133;937,1236;972,1358;958,936;957,1020;939,1025;911,1123;832,1235;789,1349"
222,1.85185,0,0,"1166,800,1406,1348","711,823,1089,1390","1276,852;1248,910;1215,985;1161,1025;1262,1055;1258,1181;1253,1298;1348,910;1372,1007;1360,1088;1330,1056;1317,1178;1300,1298","896,885;836,956;748,1029;712,1069;855,1135;913,1234;933,1357;945,942;945,1024;916,1026;902,1126;824,1233;790,1346"
223,1.8601916666666667,0,0,"1167,800,1405,1348","700,827,1075,1392","1275,852;1248,910;1215,985;1161,1024;1262,1056;1258,1183;1253,1300;1347,910;1372,1009;1362,1091;1330,1058;1316,1180;1300,1300","882,898;813,961;743,1025;704,1072;834,1133;916,1236;972,1340;946,958;959,1038;913,1025;903,1127;801,1229;774,1339"
